utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,24,0.0,16399,20615664509985,9,38.8,331.48614501953125,0.04050000011920929,16,0.0,0.0,1575420000,,,,0,,1,0.0,35.199999999999996,0.0,0.0,,,C,293991999842718,,,,,,,,,,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,10,0.0,23567,20615664252682,10,39.1,230.0433807373047,0.07459999620914459,16,0.0,0.0,1575420000,,,,0,,6,0.0,34.800000000000004,-1463.15478515625,18.871349334716797,,,C,293991999842718,,1108363.1576151773,21623726.08668472,20174677.324797343,-1225.0231504489698,-1620.0196125879088,1803.2403130102427,-235651.3018865215,-0.0008217184222303331,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,11,0.0,23567,20615670219482,12,37.2,-10.912192344665527,2.9359049797058105,16,0.0,0.0,1575420000,,,,0,,6,0.0,32.900000000000006,-1463.15478515625,18.871349334716797,,,C,293991999842718,,10299884.195178289,24854235.02117399,12307409.638149038,-687.0755799662224,-1040.0476744446614,2673.7804451276074,1429606.5801126664,0.035484660882502794,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,16,0.0,23567,20615666688852,10,38.9,-22.704517364501953,0.07160000503063202,16,0.0,0.0,1575420000,,,,0,,6,0.0,34.6,-1463.15478515625,18.871349334716797,,,C,293991999842718,,-830709.2219829736,27023075.832750347,12027125.17424618,-354.95804166155546,1154.8011018299494,-2621.124820669373,-7958.1651618015885,-0.0007669896140214405,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,25,0.0,23567,20615660414490,19,32.1,-416.1300354003906,5.908509731292725,16,0.0,0.0,1575420000,,,,0,,6,0.0,27.8,-1463.15478515625,18.871349334716797,,,C,293991999842718,,11948044.202132776,14197424.280828778,23063550.54472656,-770.9063674533986,2180.498218810028,-942.7121095179805,6591.124471872057,0.000008038343366933987,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,31,0.0,23567,20615657863840,16,33.9,411.4501647949219,2.9603049755096436,16,0.0,0.0,1575420000,,,,0,,6,0.0,29.599999999999998,-1463.15478515625,18.871349334716797,,,C,293991999842718,,-14450349.110160498,24758659.297911327,-7375992.978212348,306.40760554364437,-676.0184147986399,-2868.288005531557,-40386.45967900797,-0.0008597035412094556,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577397744,311844268000000,18,,-1460300771476234289,-0.1693115234375,1309.6018228679895,-13.457817198725383,14.885458712641833,943,36,0.0,23567,20615655405958,14,34.9,-363.7457580566406,2.9524049758911133,16,0.0,0.0,1575420000,,,,0,,6,0.0,30.599999999999998,-1463.15478515625,18.871349334716797,,,C,293991999842718,,21296933.44963217,19695171.15385295,-5847092.668766994,501.961059351871,346.93213565176075,2998.684022083752,-165915.4806280911,-0.0016597926733084023,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577398765,311845290000000,18,,-1460300771475437143,-0.0873870849609375,1318.855443969369,-18.62744735530456,14.890142904633441,944,5,0.0,16399,20616687354454,19,31.3,-694.1117553710938,0.17419999837875366,16,0.0,0.0,1575420000,,,,0,,1,0.0,27.7,0.0,0.0,,,C,293993020710947,,6176851.79305137,22400231.350302014,-13004716.974967986,-359.47044467776925,1590.1528917508463,2606.9062493905317,-69522.92195446347,0.00011454564810264856,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577398765,311845290000000,18,,-1460300771475437143,-0.0873870849609375,1318.855443969369,-18.62744735530456,14.890142904633441,944,6,0.0,16399,20616691802806,13,34.6,449.2898254394531,2.9260048866271973,16,0.0,0.0,1575420000,,,,0,,1,0.0,31.0,0.0,0.0,,,C,293993020710947,,-5664056.942144906,14143281.409351122,21797074.163222115,-2113.201137740335,-1757.4338915079143,607.9688141400501,-182798.26246623366,0.0007410141988657415,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577398765,311845290000000,18,,-1460300771475437143,-0.0873870849609375,1318.855443969369,-18.62744735530456,14.890142904633441,944,11,0.0,16399,20616695958298,6,42.5,62.40408706665039,0.04739999771118164,16,0.0,0.0,1575420000,,,,0,,1,0.0,38.9,0.0,0.0,,,C,293993020710947,,7658351.131457217,20686031.52255123,14899622.552994829,-1533.0359775939255,-1104.471392701423,2322.1306150627893,-110396.01896190962,0.004040299143525772,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577398765,311845290000000,18,,-1460300771475437143,-0.0873870849609375,1318.855443969369,-18.62744735530456,14.890142904633441,944,12,0.0,16399,20616691629770,27,28.0,-526.019287109375,0.6180000305175781,16,0.0,0.0,1575420000,,,,0,,1,0.0,24.4,0.0,0.0,,,C,293993020710947,,11434469.889901184,12735273.838632727,20022974.434475005,-703.1107605295572,2513.040191134693,-1180.1305463379988,-182259.0061785834,-0.00083602883387357,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577398765,311845290000000,18,,-1460300771475437143,-0.0873870849609375,1318.855443969369,-18.62744735530456,14.890142904633441,944,17,0.0,16399,20616685699078,31,27.5,240.81663513183594,0.6589999794960022,16,0.0,0.0,1575420000,,,,0,,1,0.0,23.9,0.0,0.0,,,C,293993020710947,,-21388764.22730978,13435582.147735264,9005196.166180031,-1105.2050910208238,104.71038839909298,-2873.640130770038,-34832.784185167584,-0.0017031838942784816,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776577398765,311845290000000,18,,-1460300771475437143,-0.0873870849609375,1318.855443969369,-18.62744735530456,14.890142904633441,944,19,0.0,16399,20616693282608,21,30.1,124.48181915283203,8.833415031433105,16,0.0,0.0,1575420000,,,,0,,1,0.0,26.5,0.0,0.0,,,C,293993020710947,,-13221812.413033413,15634396.956111826,16548024.178371986,-2120.921067895744,342.147376873036,-2062.31622378431,209113.19850662368,-0.0005498818354681134,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
